O*NET-SOC Code_x,Title,1-5 Years,10 Years or More,6-9 Years,<1 Year,Missing,Domain Source_x,O*NET-SOC Code_y,Job Zone,Date,Domain Source_y,Avg_Experience_Years
29-1024.00,Prosthodontists,8.5,83.0,4.3,2.1,2.1,Incumbent,29-1024.00,5,08/2024,Analyst,14.741
51-9195.05,"Potters, Manufacturing",11.5,82.7,1.9,3.8,0.0,Incumbent,51-9195.05,3,08/2020,Analyst,14.5845
47-2021.00,Brickmasons and Blockmasons,9.1,80.0,9.1,1.8,0.0,Incumbent,47-2021.00,2,08/2018,Analyst,14.6555
47-2082.00,Tapers,6.1,78.8,9.1,4.5,1.5,Incumbent,47-2082.00,2,07/2015,Analyst,14.374999999999998
29-1224.00,Radiologists,11.0,78.1,6.8,1.4,2.7,Incumbent,29-1224.00,5,08/2023,Analyst,14.191999999999997
29-1222.00,"Physicians, Pathologists",16.0,77.8,3.7,2.5,0.0,,29-1222.00,5,08/2020,Analyst,14.033
51-5113.00,Print Binding and Finishing Workers,5.1,77.2,10.1,5.1,2.5,Incumbent,51-5113.00,2,07/2015,Analyst,14.161000000000001
51-5112.00,Printing Press Operators,12.7,76.2,7.9,3.2,0.0,Incumbent,51-5112.00,2,08/2020,Analyst,14.0225
19-4051.02,Nuclear Monitoring Technicians,15.1,75.6,8.4,0.8,0.0,Incumbent,19-4051.02,3,07/2014,Analyst,14.022999999999998
45-4021.00,Fallers,11.0,75.3,12.3,1.4,0.0,Incumbent,45-4021.00,1,06/2007,Analyst,14.183499999999999
51-4061.00,"Model Makers, Metal and Plastic",13.3,75.0,11.7,0.0,0.0,Incumbent,51-4061.00,3,07/2016,Analyst,14.1435
49-9061.00,Camera and Photographic Equipment Repairers,13.5,75.0,3.8,3.8,3.8,Incumbent,49-9061.00,3,07/2015,Analyst,13.497
51-9081.00,Dental Laboratory Technicians,9.0,74.6,10.4,4.5,1.5,Incumbent,51-9081.00,2,08/2022,Analyst,13.8585
51-7032.00,"Patternmakers, Wood",7.7,74.4,14.1,3.8,0.0,Incumbent,51-7032.00,3,08/2021,Analyst,14.0965
47-2161.00,Plasterers and Stucco Masons,7.1,74.3,18.6,0.0,0.0,Incumbent,47-2161.00,1,07/2015,Analyst,14.424999999999999
29-1229.03,Urologists,6.5,73.9,15.2,2.2,2.2,Incumbent,29-1229.03,5,08/2023,Analyst,14.061000000000002
11-9171.00,Funeral Home Managers,17.3,73.1,7.7,1.9,0.0,,11-9171.00,3,08/2024,Analyst,13.609999999999998
47-2171.00,Reinforcing Iron and Rebar Workers,12.1,72.7,13.6,0.0,1.5,Incumbent,47-2171.00,2,07/2015,Analyst,13.878000000000002
29-1011.00,Chiropractors,13.1,72.1,9.8,4.9,0.0,Incumbent,29-1011.00,5,07/2013,Analyst,13.507499999999999
27-3092.00,Court Reporters and Simultaneous Captioners,10.9,71.9,9.4,6.3,1.6,,27-3092.00,3,08/2020,Analyst,13.380500000000003
51-6041.00,Shoe and Leather Workers and Repairers,10.2,71.4,14.3,4.1,0.0,Incumbent,51-6041.00,2,08/2022,Analyst,13.680000000000001
29-1218.00,Obstetricians and Gynecologists,21.4,71.4,5.4,0.0,1.8,Incumbent,29-1218.00,5,08/2023,Analyst,13.239
29-1241.00,"Ophthalmologists, Except Pediatric",6.1,71.4,16.3,2.0,4.1,,29-1241.00,5,08/2022,Analyst,13.716500000000002
47-5023.00,"Earth Drillers, Except Oil and Gas",9.6,71.2,17.3,1.9,0.0,Incumbent,47-5023.00,2,07/2017,Analyst,13.872000000000002
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",13.8,70.8,7.7,6.2,1.5,Incumbent,51-6052.00,2,08/2020,Analyst,13.1355
29-1081.00,Podiatrists,15.3,70.8,9.7,4.2,0.0,Incumbent,29-1081.00,5,08/2022,Analyst,13.340499999999999
13-1074.00,Farm Labor Contractors,15.8,70.2,10.5,3.5,0.0,Incumbent,13-1074.00,2,06/2008,Analyst,13.318000000000001
51-5111.00,Prepress Technicians and Workers,13.4,70.1,11.3,4.1,1.0,Incumbent,51-5111.00,3,07/2016,Analyst,13.299999999999999
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",14.0,70.0,10.0,4.0,2.0,Incumbent,27-1013.00,3,07/2017,Analyst,13.19
27-2042.00,Musicians and Singers,12.8,69.8,9.4,6.7,1.3,,27-2042.00,4,08/2022,Analyst,13.0825
